name,run_id_minimal_pair_analysis_fr,state_minimal_pair_analysis_fr,seed_minimal_pair_analysis_fr,model_name_minimal_pair_analysis_fr,dataset_name_minimal_pair_analysis_fr,compute_subcat_bool_minimal_pair_analysis_fr,_runtime_minimal_pair_analysis_fr,_step_minimal_pair_analysis_fr,_timestamp_minimal_pair_analysis_fr,_wandb_minimal_pair_analysis_fr,test_minimal_pair_analysis_fr,run_id_minimal_pair_analysis_multiblimp,state_minimal_pair_analysis_multiblimp,seed_minimal_pair_analysis_multiblimp,model_name_minimal_pair_analysis_multiblimp,dataset_name_minimal_pair_analysis_multiblimp,compute_subcat_bool_minimal_pair_analysis_multiblimp,_runtime_minimal_pair_analysis_multiblimp,_step_minimal_pair_analysis_multiblimp,_timestamp_minimal_pair_analysis_multiblimp,_wandb_minimal_pair_analysis_multiblimp,test_minimal_pair_analysis_multiblimp
camembert-base,cd8qvbmb,finished,42,almanach/camembert-base,frblimp,True,2.285400605,0,1737295207.172337,{'runtime': 2},"{'accuracy': 57.07, 'accuracy_per_subcat': {'1': 59.79, '10': 51.65, '11': 60, '12': 64, '13': 43.75, '14': 28.87, '15': 91.67, '16': 100, '17': 90, '18': 96.67, '19': 75, '2': 44.21, '20': 1.59, '3': 45.36, '4': 67.71, '5': 56.57, '6': 42.27, '7': 81.58, '8': 49.06, '9': 35.4}}",w2kqeq5u,finished,42,almanach/camembert-base,qfrcola,False,8,0,1757734437.9634778,{'runtime': 8},{'accuracy': 50.98}
camembert-large,zaapff5j,finished,42,almanach/camembert-large,frblimp,True,2.578536167,0,1737295216.8623898,{'runtime': 2},"{'accuracy': 53.89, 'accuracy_per_subcat': {'1': 48.45, '10': 52.75, '11': 65, '12': 52, '13': 35.42, '14': 22.68, '15': 93.33, '16': 100, '17': 90, '18': 95, '19': 65, '2': 38.95, '20': 0, '3': 42.27, '4': 62.5, '5': 30.3, '6': 49.48, '7': 82.46, '8': 55.66, '9': 40.71}}",6e44rd08,finished,42,almanach/camembert-large,qfrcola,False,15,0,1757734463.8656566,{'runtime': 15},{'accuracy': 56.86}
bert-base-french-europeana-cased,mkehebo2,finished,42,dbmdz/bert-base-french-europeana-cased,frblimp,True,18.036031228,0,1737295241.0959933,{'runtime': 18},"{'accuracy': 61.56, 'accuracy_per_subcat': {'1': 63.92, '10': 48.35, '11': 68, '12': 74, '13': 40.62, '14': 27.84, '15': 90, '16': 88.33, '17': 88.33, '18': 91.67, '19': 71.67, '2': 68.42, '20': 1.59, '3': 47.42, '4': 77.08, '5': 54.55, '6': 49.48, '7': 83.33, '8': 61.32, '9': 56.64}}",ta9m86yn,finished,42,dbmdz/bert-base-french-europeana-cased,qfrcola,False,10,0,1757734484.865406,{'runtime': 10},{'accuracy': 74.12}
xlm-roberta-base,fisfqbj8,finished,42,FacebookAI/xlm-roberta-base,frblimp,True,3.793394235,0,1737295251.0480108,{'runtime': 3},"{'accuracy': 50.94, 'accuracy_per_subcat': {'1': 55.67, '10': 56.04, '11': 71, '12': 61, '13': 55.21, '14': 36.08, '15': 43.33, '16': 26.67, '17': 25, '18': 60, '19': 26.67, '2': 67.37, '20': 50.79, '3': 46.39, '4': 58.33, '5': 29.29, '6': 53.61, '7': 61.4, '8': 51.89, '9': 53.1}}",mqep6ife,finished,42,FacebookAI/xlm-roberta-base,qfrcola,False,13,0,1757734508.8007388,{'runtime': 13},{'accuracy': 56.08}
xlm-roberta-large,egd3puyp,finished,42,FacebookAI/xlm-roberta-large,frblimp,True,4.126532907,0,1737295265.870916,{'runtime': 4},"{'accuracy': 72.69, 'accuracy_per_subcat': {'1': 63.92, '10': 68.13, '11': 82, '12': 92, '13': 68.75, '14': 58.76, '15': 76.67, '16': 88.33, '17': 73.33, '18': 68.33, '19': 56.67, '2': 82.11, '20': 55.56, '3': 79.38, '4': 84.38, '5': 68.69, '6': 72.16, '7': 75.44, '8': 68.87, '9': 64.6}}",uojhxovx,finished,42,FacebookAI/xlm-roberta-large,qfrcola,False,23,0,1757734542.6379502,{'runtime': 23},{'accuracy': 78.04}
Chocolatine-14B-Instruct-DPO-v1.2,im672eca,finished,42,jpacifico/Chocolatine-14B-Instruct-DPO-v1.2,frblimp,True,379.943756361,0,1737295651.9877665,{'runtime': 379},"{'accuracy': 88.02, 'accuracy_per_subcat': {'1': 90.72, '10': 90.11, '11': 94, '12': 99, '13': 84.38, '14': 81.44, '15': 86.67, '16': 88.33, '17': 88.33, '18': 76.67, '19': 78.33, '2': 97.89, '20': 44.44, '3': 93.81, '4': 95.83, '5': 95.96, '6': 94.85, '7': 92.11, '8': 88.68, '9': 76.11}}",xe4c9cls,finished,42,jpacifico/Chocolatine-14B-Instruct-DPO-v1.2,qfrcola,False,309,0,1757734861.7242727,{'runtime': 309},{'accuracy': 97.65}
French-Alpaca-Llama3-8B-Instruct-v1.0,wntid8l1,finished,42,jpacifico/French-Alpaca-Llama3-8B-Instruct-v1.0,frblimp,True,472.551259052,0,1737296509.6998112,{'runtime': 472},"{'accuracy': 87.05, 'accuracy_per_subcat': {'1': 92.78, '10': 87.91, '11': 90, '12': 96, '13': 85.42, '14': 85.57, '15': 80, '16': 96.67, '17': 88.33, '18': 86.67, '19': 75, '2': 90.53, '20': 28.57, '3': 95.88, '4': 93.75, '5': 96.97, '6': 92.78, '7': 91.23, '8': 89.62, '9': 74.34}}",o4va2yy7,finished,42,jpacifico/French-Alpaca-Llama3-8B-Instruct-v1.0,qfrcola,False,203,0,1757735450.973489,{'runtime': 203},{'accuracy': 92.94}
Lucie-7B,3ok9h2t9,finished,42,OpenLLM-France/Lucie-7B,frblimp,True,184.964251354,0,1737296700.8942926,{'runtime': 184},"{'accuracy': 90.01, 'accuracy_per_subcat': {'1': 89.69, '10': 96.7, '11': 94, '12': 100, '13': 83.33, '14': 89.69, '15': 90, '16': 98.33, '17': 93.33, '18': 95, '19': 75, '2': 98.95, '20': 39.68, '3': 95.88, '4': 96.88, '5': 98.99, '6': 94.85, '7': 96.49, '8': 92.45, '9': 66.37}}",2jq1ri7x,finished,42,OpenLLM-France/Lucie-7B,qfrcola,False,160,0,1757735621.1109302,{'runtime': 160},{'accuracy': 99.22}
Lucie-7B-Instruct-human-data,v63mh7w0,finished,42,OpenLLM-France/Lucie-7B-Instruct-human-data,frblimp,True,179.137078065,0,1737297079.075107,{'runtime': 179},"{'accuracy': 83.02, 'accuracy_per_subcat': {'1': 76.29, '10': 90.11, '11': 85, '12': 94, '13': 76.04, '14': 75.26, '15': 86.67, '16': 98.33, '17': 91.67, '18': 96.67, '19': 71.67, '2': 83.16, '20': 15.87, '3': 94.85, '4': 89.58, '5': 96.97, '6': 92.78, '7': 91.23, '8': 86.79, '9': 57.52}}",fg946f7j,finished,42,OpenLLM-France/Lucie-7B-Instruct-human-data,qfrcola,False,68,0,1757747775.1098337,{'runtime': 68},{'accuracy': 94.51}
Claire-7B-FR-Instruct-0.1,glt1fgcv,finished,42,OpenLLM-France/Claire-7B-FR-Instruct-0.1,frblimp,True,610.448446136,0,1737297695.770977,{'runtime': 610},"{'accuracy': 89.32, 'accuracy_per_subcat': {'1': 92.78, '10': 96.7, '11': 92, '12': 99, '13': 87.5, '14': 81.44, '15': 91.67, '16': 95, '17': 88.33, '18': 81.67, '19': 76.67, '2': 97.89, '20': 38.1, '3': 97.94, '4': 97.92, '5': 97.98, '6': 96.91, '7': 95.61, '8': 91.51, '9': 69.03}}",wgrkhbpg,finished,42,OpenLLM-France/Claire-7B-FR-Instruct-0.1,qfrcola,False,149,0,1757736122.5609913,{'runtime': 149},{'accuracy': 97.65}
